Crakehill,Skip Bridge,Westwick,,,,,
10.4,4.393,9.291,24.86,0.163579188,0.158490729,0.156008168,0.167621383
9.95,4.239,8.622,23.6,0.160148656,0.155834411,0.150901249,0.16359592
9.46,4.124,8.057,23.47,0.156413188,0.153850798,0.146588231,0.163180595
9.41,4.363,7.925,60.7,0.156032018,0.157973264,0.145580588,0.282123432
26.3,11.962,58.704,98.01,0.284791309,0.289047003,0.533210241,0.401321853
32.1,10.237,34.416,56.99,0.329007052,0.259292799,0.347803891,0.27027068
19.3,7.254,22.263,56.66,0.231427482,0.207839586,0.255032014,0.269216393
22,7.266,29.587,78.1,0.252010673,0.208046572,0.310940944,0.337713154
35.5,8.153,60.253,125.7,0.354926625,0.22334627,0.545034781,0.489786187
51,13.276,93.951,195.9,0.473089384,0.311711945,0.802273877,0.714061963
65.5,25.561,69.503,125.4,0.58362874,0.523613627,0.615646142,0.488827744
32,20.715,40.514,161.5,0.328244711,0.440025873,0.394353954,0.604160443
64.3,36.54,106.753,204,0.574480656,0.712988357,0.9,0.739939938
69.1,28.457,60.325,234.4,0.611072994,0.573566192,0.545584404,0.837062211
99,38.484,77.439,160.1,0.839012769,0.746520052,0.676226872,0.599687707
58.2,21.022,57.103,104.1,0.527977892,0.445321259,0.52098875,0.420778256
34.1,15.191,42.697,136.4,0.344253859,0.344743424,0.411018235,0.523970672
59.8,16.456,79.028,137.1,0.540175338,0.366563174,0.688356759,0.52620704
48,18.587,70.19,124.3,0.450219173,0.403320397,0.620890467,0.485313451
42.6,18.687,88.489,175.9,0.409052792,0.405045278,0.760578822,0.650165731
66.6,26.501,74.365,206.5,0.592014484,0.539827512,0.652761,0.747926967
70,34.921,62.332,116.4,0.617934058,0.685062527,0.560905161,0.460074439
35.4,18.518,43.343,92.52,0.354164284,0.402130229,0.41594958,0.383782337
33.2,16.112,39.664,104.3,0.337392796,0.360629582,0.387865342,0.421417218
36.3,18.059,61.693,106,0.361025348,0.394213023,0.556027252,0.426848398
33.9,18.287,43.674,80.07,0.342729179,0.398145752,0.418476321,0.344006933
25.8,15.197,31.682,64.14,0.280979607,0.344846917,0.326933463,0.293113584
22.1,11.821,26.37,56.13,0.252773013,0.28661492,0.286383458,0.267523142
20.2,10.624,21.884,50.29,0.238288546,0.26596809,0.252138856,0.248865443
18.4,9.607,19.046,43.38,0.224566419,0.248426046,0.230474527,0.226789294
16.9,6.394,17.181,40.47,0.213131313,0.193005606,0.21623775,0.217492392
15.8,7.112,15.511,37.36,0.204745569,0.205390254,0.203489537,0.207556528
14.9,6.213,14.625,37.74,0.197884505,0.189883571,0.196726114,0.208770557
15.5,6.641,14.918,38.31,0.202458548,0.197266063,0.198962776,0.210591599
15.8,6.336,14.1,36.22,0.204745569,0.192005175,0.192718442,0.203914443
14.9,6.009,12.959,35.92,0.197884505,0.186364812,0.184008435,0.202955999
14.6,6.448,13.352,36.61,0.195597484,0.193937042,0.187008464,0.205160419
14.7,6.605,13.52,35.6,0.196359825,0.196645106,0.188290919,0.20193366
14.4,6.349,13.019,33.17,0.194072804,0.192229409,0.184466455,0.194170267
13.4,5.806,11.879,29.24,0.1864494,0.182863303,0.175764082,0.181614658
11.9,5.275,10.437,27.48,0.175014294,0.173704183,0.164756343,0.175991789
11.4,5.103,9.913,26.18,0.171202592,0.170737387,0.160756305,0.171838534
10.8,4.866,9.478,25.14,0.16662855,0.166649418,0.157435663,0.16851593
10.4,4.676,8.969,24.24,0.163579188,0.163372143,0.153550129,0.1656406
10.3,4.569,8.846,23.59,0.162816848,0.16152652,0.152611189,0.163563972
9.84,4.378,8.552,22.7,0.159310082,0.158231997,0.150366893,0.16072059
9.46,4.089,8.719,21.52,0.156413188,0.153247089,0.151641714,0.156950712
8.87,3.945,8.013,20.43,0.15191538,0.15076326,0.14625235,0.153468367
8.52,3.777,7.723,20.35,0.149247189,0.147865459,0.144038588,0.153212782
8.71,3.617,7.497,20.12,0.150695636,0.145105649,0.142313381,0.152477976
8.5,3.551,7.268,19.47,0.149094721,0.143967227,0.140565273,0.150401348
8.48,3.146,7.078,20.01,0.148942253,0.136981458,0.139114877,0.152126546
8.88,3.278,8.167,21.74,0.151991614,0.139258301,0.147427933,0.157653571
9.45,3.131,8.87,20.26,0.156336954,0.136722725,0.152794397,0.152925249
8.59,2.966,7.842,20.76,0.149780827,0.133876671,0.144946994,0.154522655
8.94,3.36,7.604,23.62,0.152449018,0.140672704,0.143130183,0.163659816
11.5,3.4,7.539,26.09,0.171964932,0.141362656,0.142633995,0.171551001
12.5,3.783,7.599,24.17,0.179588336,0.147968952,0.143092014,0.165416963
10.9,3.613,7.571,23.07,0.16739089,0.145036654,0.142878272,0.16190267
11.2,3.698,9.979,41.84,0.169677911,0.146502803,0.161260127,0.221869284
21.8,4.007,18.978,36.05,0.250485992,0.151832687,0.229955439,0.203371325
15.6,3.295,13.159,28.01,0.203220888,0.139551531,0.185535167,0.177685039
11.8,3.052,10.379,24.2,0.174251953,0.135360069,0.164313591,0.165512807
10.5,2.906,9.187,22,0.164341528,0.132841742,0.155214267,0.158484222
9.58,2.791,8.292,20.62,0.157327997,0.130858129,0.148382141,0.154075382
8.99,2.869,7.826,20.02,0.152830189,0.132203536,0.144824855,0.152158495
9.03,2.806,7.783,20.56,0.153135125,0.131116861,0.144496608,0.153883693
8.95,2.746,7.741,17.97,0.152525253,0.130081932,0.144175994,0.145609131
9.01,2.643,8.101,20.06,0.152982657,0.128305304,0.146924112,0.152286287
9.18,2.559,9.854,22.36,0.154278635,0.126856404,0.160305919,0.159634354
9.29,2.519,12.636,25.27,0.15511721,0.126166451,0.181542763,0.168931256
10.7,2.396,11.597,20.08,0.165866209,0.124044847,0.173611389,0.152350183
8.23,2.44,8.606,18.08,0.147036402,0.124803795,0.15077911,0.14596056
7.75,2.48,8.516,21.39,0.143377168,0.125493747,0.150092081,0.156535387
9.71,2.467,10.637,18.6,0.158319039,0.125269513,0.166283075,0.147621862
7.87,2.392,8.405,17.51,0.144291976,0.123975852,0.149244745,0.144139517
8.08,2.327,8.753,17.68,0.145892891,0.122854679,0.151901259,0.144682635
7.87,2.261,8.37,16.52,0.144291976,0.121716257,0.148977567,0.140976654
7.23,2.232,7.543,15.18,0.139412998,0.121216041,0.142664529,0.136695606
6.75,2.244,6.864,14.32,0.135753764,0.121423027,0.137481274,0.133948068
6.51,2.248,6.529,13.93,0.133924147,0.121492022,0.134923997,0.132702092
6.37,2.232,6.349,13.99,0.132856871,0.121216041,0.133549938,0.132893781
6.48,2.339,6.315,15.32,0.133695445,0.123061665,0.133290394,0.13714288
7.31,2.462,8.001,17.46,0.14002287,0.125183269,0.146160746,0.143979777
7.59,2.745,8.062,16.61,0.142157423,0.130064683,0.146626399,0.141264187
7.29,2.578,7.27,15.23,0.139870402,0.127184131,0.14058054,0.136855347
7.11,2.528,6.801,20.33,0.138498189,0.12632169,0.137000353,0.153148886
9.05,4.101,9.408,44.18,0.153287593,0.153454075,0.156901306,0.229345143
17.9,6.957,45.864,120,0.220754717,0.202716688,0.435194038,0.471575761
58.6,7.27,64.776,37.99,0.531027254,0.208115567,0.579561828,0.20956926
14.1,3.551,16.599,92.73,0.191785782,0.143967227,0.21179496,0.384453248
45.3,22.968,70.041,148.5,0.429635982,0.478887451,0.619753051,0.562627892
63.5,19.284,46.38,77.64,0.568381933,0.41534282,0.439133007,0.33624354
25.5,8.393,25.626,62.7,0.278692586,0.227485985,0.280704014,0.288513055
22.6,13.597,25.381,72,0.256584715,0.317248814,0.278833767,0.318224803
33.1,11.988,23.8,52.73,0.336630455,0.289495472,0.26676495,0.256660783
19.6,7.377,17.473,38.61,0.233714504,0.20996119,0.218466779,0.211550043
15,5.763,13.984,32.41,0.198646846,0.182121604,0.191832937,0.191742211
13.4,5.112,11.856,29.05,0.1864494,0.170892626,0.175588508,0.181007644
12,4.634,11.106,34.01,0.175776634,0.162647693,0.169863262,0.196853909
11.9,4.817,28.253,66.89,0.175014294,0.165804226,0.300757641,0.301899316
25.6,5.872,36.554,52.91,0.279454927,0.184001725,0.364124658,0.257235849
18.6,5.122,19.74,40,0.2260911,0.171065114,0.235772288,0.215990831
16.4,4.823,18.456,37.47,0.209319611,0.165907719,0.225970668,0.207907957
14.3,4.348,14.608,30.47,0.193310463,0.157714532,0.196596342,0.185544276
12.7,4.059,14.354,36.89,0.181113017,0.152729625,0.194657392,0.206054967
15.6,4.39,17.31,90.87,0.203220888,0.158438982,0.217222493,0.378510898
43,25.141,60.588,134.9,0.412102154,0.516369125,0.547592057,0.519178454
55.3,18.877,37.16,48.21,0.505870021,0.408322553,0.368750656,0.242220234
17.3,7.952,16.25,37.13,0.216180675,0.219879258,0.209130812,0.206821722
14.3,6.379,12.918,31.33,0.193310463,0.192746874,0.183695455,0.188291814
12.4,5.288,10.971,29.42,0.178825996,0.173928417,0.168832718,0.182189724
11.2,4.704,12.668,25.83,0.169677911,0.16385511,0.18178704,0.17072035
10.2,4.472,9.636,22.82,0.162054507,0.159853385,0.158641781,0.161103967
9.43,3.817,9.117,21.51,0.156184486,0.148555412,0.154679911,0.156918764
8.8,3.549,8.712,19.93,0.151381742,0.14393273,0.151588279,0.151870962
8.32,3.34,7.874,19.06,0.147722508,0.140327727,0.145191271,0.149091475
8.04,3.257,7.381,18.14,0.145587955,0.138896076,0.141427876,0.146152249
7.74,3.111,7.01,17.15,0.143300934,0.136377749,0.138595788,0.142989385
7.38,2.975,6.741,16.21,0.140556508,0.13403191,0.136542333,0.139986262
7.17,2.94,6.371,21.44,0.138955594,0.133428202,0.133717879,0.156695127
7.89,6.361,8.689,24.91,0.144444444,0.192436395,0.151412704,0.167781123
8.66,4.979,11.126,21.98,0.150314465,0.168598534,0.170015935,0.158420325
8.4,3.789,8.803,19.51,0.14833238,0.148072445,0.152282942,0.150529141
7.95,3.442,10.275,171.9,0.144901849,0.142087107,0.16351969,0.637386484
73,18.776,68.591,211.8,0.640804269,0.406580423,0.608684243,0.764859468
107,32.623,102.646,182.9,0.9,0.645424752,0.868648556,0.672529412
81.2,23.83,64.309,103,0.703316181,0.493755929,0.575996908,0.417263963
37.8,11.137,34.209,67.18,0.372460454,0.274816731,0.346223724,0.302825811
25.5,9.08,29.53,92.33,0.278692586,0.239335921,0.310505825,0.383175323
42.1,13.044,44.007,74.03,0.40524109,0.30771022,0.42101833,0.324710271
27.5,9.244,26.427,51.53,0.293939394,0.242164726,0.286818577,0.252827009
19.6,6.626,19.746,41.04,0.233714504,0.197007331,0.23581809,0.219313435
16.2,5.411,15.911,34.74,0.20779493,0.176050022,0.206543001,0.199186122
14.1,4.672,13.704,31.28,0.191785782,0.163303148,0.189695512,0.188132074
13,4.259,12.549,29.67,0.183400038,0.156179388,0.180878634,0.182988427
12.5,4.113,12.163,29.22,0.179588336,0.153661061,0.177932041,0.181550762
12.2,3.85,12.318,27.6,0.177301315,0.149124623,0.179115259,0.176375167
11.5,3.792,11.922,28.03,0.171964932,0.148124191,0.176092329,0.177748936
11.4,4.049,16.532,119.9,0.171202592,0.152557137,0.211283505,0.47125628
32.1,14.618,48.409,60.87,0.329007052,0.334859853,0.454621704,0.28266655
17.4,8.272,28.533,44.06,0.216943015,0.225398879,0.302895066,0.228961766
14.5,5.876,21.31,35.14,0.194835144,0.18407072,0.247757135,0.200464046
12.5,4.76,15.941,28.75,0.179588336,0.164821044,0.206772011,0.1800492
10.8,4.002,12.733,24.44,0.16662855,0.151746442,0.182283228,0.166279562
9.62,3.507,10.713,21.47,0.157632933,0.143208279,0.166863233,0.156790971
8.72,3.159,9.44,19.92,0.15077187,0.137205692,0.157145583,0.151839013
8.17,2.993,8.629,18.9,0.146578998,0.134342389,0.150954685,0.148580306
7.85,2.952,8.028,18.55,0.144139508,0.133635188,0.146366855,0.147462122
7.7,3.038,7.799,19.22,0.142995998,0.135118586,0.144618746,0.149602645
8.28,3.101,8.481,20.78,0.147417572,0.136205261,0.149824903,0.154586551
8.4,3.364,9.491,20.21,0.14833238,0.140741699,0.1575349,0.152765509
8.02,3.161,8.933,21.15,0.145435487,0.13724019,0.153275318,0.155768632
8.85,4.274,9.177,22.53,0.151762912,0.15643812,0.155137931,0.160177472
9.11,3.805,9.542,20.07,0.153744997,0.148348426,0.157924217,0.152318235
8.26,3.192,8.291,18.18,0.147265104,0.137774903,0.148374507,0.146280041
7.55,2.959,7.873,18.48,0.141852487,0.133755929,0.145183637,0.147238485
7.54,3.386,11.416,28.35,0.141776253,0.141121173,0.172229697,0.178771275
10.9,3.391,15.848,24.66,0.16739089,0.141207417,0.206062081,0.166982421
8.62,2.846,12.47,19.59,0.150009529,0.131806813,0.180275575,0.150784726
7.33,2.651,9.312,16.59,0.140175338,0.128443295,0.156168475,0.141200291
6.66,2.544,7.689,16.35,0.135067658,0.126597671,0.143779044,0.140433536
6.62,3.005,7.691,15.8,0.134762722,0.134549375,0.143794311,0.13867639
6.38,2.721,6.799,14.38,0.132933105,0.129650712,0.136985086,0.134139757
6.24,2.475,6.364,14.31,0.131865828,0.125407503,0.133664443,0.13391612
6.4,2.58,5.959,13.53,0.133085573,0.127218629,0.130572811,0.131424167
5.9,2.406,5.491,12.83,0.129273871,0.124217335,0.127000258,0.129187799
5.6,2.326,5.181,12.16,0.12698685,0.12283743,0.124633823,0.127047275
5.3,2.272,4.885,11.7,0.124699828,0.121905994,0.122374259,0.125577662
5.18,2.228,4.699,11.16,0.12378502,0.121147046,0.120954398,0.123852464
5.01,2.202,4.783,11.6,0.122489041,0.120698577,0.121595626,0.125258181
5.14,2.184,5.128,11.34,0.123480084,0.120388098,0.124229239,0.12442753
4.89,2.171,4.578,10.95,0.121574233,0.120163864,0.120030725,0.123181553
4.79,2.181,4.503,10.5,0.120811893,0.120336352,0.119458201,0.121743888
4.64,2.13,4.408,10.2,0.119668382,0.119456662,0.118733003,0.120785444
4.57,2.094,4.471,9.867,0.119134744,0.118835705,0.119213924,0.119721572
4.23,2.06,4.306,9.656,0.116542786,0.118249245,0.11795437,0.119047467
4.1,2.13,4.211,13.04,0.115551744,0.119456662,0.117229172,0.129858709
4.57,2.434,9.089,14.6,0.119134744,0.124700302,0.154466169,0.134842616
5.33,2.182,6.895,11.95,0.124928531,0.120353601,0.137717917,0.126376365
4.5,2.07,5.429,10.7,0.118601105,0.118421734,0.126526971,0.12238285
4.27,2.009,4.838,10.27,0.116847723,0.117369556,0.122015477,0.121009081
4.11,1.997,4.644,10.58,0.115627978,0.11716257,0.120534547,0.121999473
4.39,2.218,4.709,12.28,0.117762531,0.120974558,0.121030735,0.127430653
5.07,3.133,5.293,17.62,0.122946446,0.136757223,0.125488793,0.144490947
6.81,3.268,12.089,23.8,0.136211168,0.139085813,0.17736715,0.164234883
9.18,2.461,11.168,17.75,0.154278635,0.12516602,0.170336549,0.144906272
6.39,2.22,8.352,46.31,0.133009339,0.121009056,0.148840161,0.236150092
7.54,13.259,43.204,46.49,0.141776253,0.311418715,0.414888501,0.236725158
12.2,5.731,21.002,37.24,0.177301315,0.181569642,0.245405968,0.207173151
9.01,5.298,23.605,24.29,0.152982657,0.174100906,0.265276386,0.16580034
6.88,3.273,11.16,18.73,0.136744807,0.139172057,0.17027548,0.148037188
5.57,2.874,18.208,39.61,0.126758148,0.13228978,0.22407752,0.214744854
13.3,2.928,23.265,25.53,0.185687059,0.133221216,0.262680942,0.169761907
7.93,2.659,12.301,22.36,0.144749381,0.128581285,0.178985487,0.159634354
6.6,2.762,14.695,22.1,0.134610253,0.130357913,0.19726047,0.158803703
6.69,2.79,13.129,23.89,0.13529636,0.13084088,0.185306158,0.164522416
6.53,2.705,15.087,19.53,0.134076615,0.12937473,0.200252865,0.150593037
5.96,2.569,9.86,15.53,0.129731275,0.127028892,0.160351721,0.13781379
5.12,2.389,7.786,13.52,0.123327616,0.123924105,0.144519509,0.131392219
4.8,2.279,6.65,12.49,0.120888127,0.122026736,0.13584767,0.128101563
4.44,2.315,6.167,12.45,0.118143701,0.122647693,0.132160612,0.127973771
4.46,2.663,5.764,12.56,0.118296169,0.12865028,0.129084247,0.1283252
4.29,2.412,8.176,25.11,0.117000191,0.124320828,0.147496636,0.168420086
9.76,3.006,17.887,108,0.15870021,0.134566624,0.221627115,0.433238021
54.8,26.523,86.657,127.8,0.502058319,0.540206986,0.746593956,0.496495292
55.1,13.687,34.227,48.75,0.50434534,0.318801207,0.346361129,0.243945433
15.7,4.954,17.907,31.65,0.203983229,0.168167313,0.221779788,0.189314154
12.1,3.934,16.391,33.63,0.176538975,0.150573523,0.210207158,0.195639881
15.4,4.063,18.675,41.23,0.201696207,0.15279862,0.227642439,0.219920449
16.2,3.774,15.087,40.14,0.20779493,0.147813713,0.200252865,0.216438105
17.2,6.017,33.505,67.91,0.215418334,0.186502803,0.340849626,0.305158023
27.5,5.69,28.493,44.83,0.293939394,0.180862441,0.302589719,0.231421771
16,3.9,18.254,30.32,0.20627025,0.149987063,0.224428668,0.185065054
11.1,3.326,11.973,31.47,0.168915571,0.140086244,0.176481646,0.188739088
12.4,5.424,15.612,33,0.178825996,0.176274256,0.204260537,0.19362715
12.1,4.125,12.258,24.38,0.176538975,0.153868047,0.178657239,0.166087873
9.26,3.332,9.114,20.33,0.154888508,0.140189737,0.15465701,0.153148886
7.98,3.049,7.763,17.9,0.145130551,0.135308323,0.144343935,0.145385494
7.04,2.878,6.885,15.83,0.137964551,0.132358775,0.137641581,0.138772234
6.35,2.806,6.334,14.52,0.132704403,0.131116861,0.133435434,0.134587031
5.86,2.726,5.953,13.99,0.128968935,0.129736956,0.130527009,0.132893781
5.51,3.06,5.614,13.78,0.126300743,0.13549806,0.127939198,0.13222287
5.48,2.763,5.499,13.29,0.126072041,0.130375162,0.127061327,0.130657412
5.32,2.598,5.268,12.84,0.124852297,0.127529107,0.125297951,0.129219747
5.2,2.518,5.085,12.39,0.123937488,0.126149202,0.123900991,0.127782082
5,2.49,4.947,12.07,0.122412807,0.125666235,0.122847546,0.126759742
4.82,2.443,4.779,11.58,0.121040595,0.124855541,0.121565091,0.125194284
4.65,2.421,4.684,11.32,0.119744616,0.124476067,0.120839894,0.124363633
4.53,2.352,4.619,10.88,0.118829808,0.123285899,0.120343706,0.122957916
4.38,2.337,4.428,10.58,0.117686297,0.123027167,0.118885676,0.121999473
4.28,2.301,4.313,10.48,0.116923957,0.12240621,0.118007805,0.121679992
4.26,2.29,4.218,10.34,0.116771488,0.122216473,0.117282608,0.121232718
4.12,2.258,4.198,10.25,0.115704212,0.121664511,0.117129934,0.120945185
4.12,2.264,4.083,10.04,0.115704212,0.121768003,0.116252063,0.120274275
4.04,2.238,4.035,9.96,0.11509434,0.121319534,0.115885648,0.12001869
3.98,2.23,3.994,9.954,0.114636935,0.121181544,0.115572668,0.119999521
3.96,2.244,3.937,10.01,0.114484467,0.121423027,0.115137549,0.12017843
3.94,2.218,3.745,11.97,0.114331999,0.120974558,0.113671886,0.126440261
4.84,4.537,12.751,58.26,0.121193063,0.160974558,0.182420634,0.274328091
33.8,7.841,32.701,55.08,0.341966838,0.21796464,0.334712163,0.26416859
20.8,6.692,39.423,61.8,0.242862588,0.198145752,0.38602563,0.285637724
19.7,4.538,27.108,34.91,0.234476844,0.160991807,0.292017099,0.19972924
12.2,3.333,15.395,152.9,0.177301315,0.140206986,0.202604032,0.576685063
50,27.4,34.089,93.07,0.465465981,0.555334196,0.345307684,0.385539484
28.1,17.744,24.372,62.26,0.298513436,0.388779646,0.271131404,0.287107338
19.3,13.526,19.05,49.15,0.231427482,0.316024148,0.230505062,0.245223357
16.9,10.173,18.333,47.41,0.213131313,0.258188875,0.225031727,0.239664385
